	PlotID	POINT_X	POINT_Y
152	8030_1_F	3625253.598	5315233.216
153	8030_1_G	3625958.82	5316807.499
154	8130_2_A	3636698.085	5306908.337
155	8130_2_F	3635619.124	5306045.237
156	8130_2_G	3637047.027	5305067.701
157	8131_3_F	3643211.559	5300012.665
158	8131_3_G	3642743.789	5300243.427
159	8131_3_U	3641493.426	5298626.245
160	8141_2_F	3772776.956	5312871.513
161	8141_2_G	3771072.97	5311461.642
162	8141_2_U	3771849.898	5309302.646
163	8229_2_G	3623256.3	5292565.981
164	8229_2_U	3621749.876	5294943.104
165	8235_1_F	3690952.93	5295601.236
166	8235_1_G	3690699.977	5296060.354
167	8235_1_U	3693616.33	5294192.597
168	8240_2_F	3757205.497	5297804.607
169	8240_2_G	3758979.65	5297905.842
170	8240_2_U	3759599.597	5296972.059
171	8243_1_F	3787441.244	5300632.227
172	8243_1_G	3792308.539	5300124.336
173	8243_1_U	3791179.022	5300936.894
174	8343_4_F	3796057.605	5282797.139
175	8343_4_G	3798803.575	5284435.484
